# C0-terminated main-dialogue review catalog; generated from the verified Japanese ROM.
# id	file offset	length	raw bytes	Japanese	Korean translation	status
C0-05806C	0x05806C	0021	D7 C3 02 DC 07 20 7E 7E 7E 7E 7E 7E 7E 7E 7E CD DC 00 20 3B 3C 50 42 20 80 E8 80 E9 53 60 3D 0A 1F	[DFT][PAL:02][NXT]ず ·········\n[NXT]が あいにく 留守のようだ˳		pending
C0-0580FE	0x0580FE	0042	D0 1E 00 02 41 28 02 D0 30 00 02 01 02 1A 39 01 15 81 02 1D 1A 81 6B 02 1D 41 81 6B D7 20 C2 00 54 CD 20 D4 1D 47 4E D5 53 80 1C 67 20 53 09 3C 4A CD 20 0A 00 80 EA 5D 80 31 6E 4D 3C 4F 40 6E 4A 1F	[CLR]ˎがぐきHぐ[CLR]PがぐぎぐぴYぎび子ぽぴ造ぐぽき造[DFT] [NAM:00]は\n [KATAKANA]ポスト[HIRAGANA]の中を のぞいた\n だが何も入っていなかった˳		pending
C0-058141	0x058141	007E	D7 20 C2 00 54 CD 20 D4 1D 47 4E D5 53 80 1C 67 20 53 09 3C 4A CD C9 0A 20 D4 1D 47 4E D5 53 80 1C 50 54 CD C3 03 20 D4 61 16 64 4A 73 D5 C3 00 00 20 80 31 6E 4D 3C 4A 7D D1 C3 02 20 D4 1D 65 68 D5 45 68 20 3B 4F 4A 54 80 CE 53 80 EB 80 EC 0A CD 20 80 CE 54 20 49 53 80 EB 80 EC 67 CD 20 3C 4C 0D 5D 20 5A 4C 5C 4D 3C 4A 3C 4E 80 7A 3D CD CE 12 3B 4F 4A 53 D4 56 69 68 D5 60 62	[DFT] [NAM:00]は\n [KATAKANA]ポスト[HIRAGANA]の中を のぞいた\n[PAU:0A] [KATAKANA]ポスト[HIRAGANA]の中には\n[PAL:03] [KATAKANA]ラブレター[HIRAGANA][PAL:00]が 入っていた![FIN][PAL:02] [KATAKANA]ポロン[HIRAGANA]さん あなたは私の太陽だ\n 私は その太陽を\n いつでも みつめていたいと思う\n[SKP:12]あなたの[KATAKANA]ファン[HIRAGANA]より		pending
C0-0581C0	0x0581C0	0049	D7 E0 01 C2 00 20 41 44 3E 63 0F CD C9 14 80 26 20 3F 4E 3D 45 59 00 20 44 44 50 CD 80 10 4D 3C 63 68 0A 43 0E 7E 7E 7E D1 4E 50 40 42 20 80 ED 80 EE 3F 3D 4B 50 CD 80 EF 6E 4D 41 4D 4B 71 3D 0A 3C CD 3F 52 00 3C 60 1F	[DFT][E2:01C2]が きこえる?\n[PAU:14]今 おとうさまが ここに\n来ているんだけど···[FIN]とにかく 一度おうちに\n帰ってきてちょうだい\nおねがいよ˳		pending
C0-05828C	0x05828C	0034	D7 C3 02 20 20 20 D4 42 62 47 1A 73 D5 53 80 F0 CD CD 20 3B 4F 4A 53 20 42 61 46 67 3F 4A 47 43 47 63 CD 20 17 68 62 4F 20 80 5F 80 A3 80 A4 0D 47 1F C3 00	[DFT][PAL:02]   [KATAKANA]クリスピー[HIRAGANA]の店\n\n あなたの くらしをおたすけする\n べんりな 道具屋です˳[PAL:00]		pending
C0-0582C1	0x0582C1	0056	D7 10 80 99 53 80 F1 80 F2 50 C3 02 D4 54 6E 40 73 D5 C3 00 4E 4F 53 63 CD 20 3B 5E 46 3C 80 46 80 F3 00 20 80 F4 64 4D 3C 59 47 CD 20 56 46 68 4F 80 46 80 6D 67 80 54 40 43 59 46 4A 61 CD 20 80 3C 80 F5 67 7D 20 20 20 20 D4 65 44 44 80 99 80 A1 80 A2 D5 11	[DFT]┌町の近辺に[PAL:02][KATAKANA]ハッカー[HIRAGANA][PAL:00]となのる\n あやしい人々が 現れています\n ふしんな人物を見かけましたら\n 通報を!    [KATAKANA]ロココ町警察[HIRAGANA]┘		pending
C0-058318	0x058318	004B	D7 C3 02 20 10 80 99 80 F6 80 18 40 61 53 3F 46 61 48 11 CD 20 80 BD 80 59 53 80 65 46 68 0D 20 80 AE 53 80 F1 42 54 CD 20 80 64 80 F7 42 07 64 53 80 F8 80 34 00 3B 62 59 47 CD 20 80 F9 80 31 62 67 55 40 3E 4D 42 0A 45 3C 1F	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 先日の地しんで 河の近くは\n 土砂くずれの危険があります\n 立入りをひかえてください˳		pending
C0-058364	0x058364	0054	D7 C3 02 20 10 80 99 80 F6 80 18 40 61 53 3F 46 61 48 11 CD 20 80 88 80 FA 80 27 80 14 80 55 20 D4 1C 6E 19 73 D5 45 68 00 CD 20 D4 54 6E 40 73 80 FB 80 FC D5 53 4A 5C 20 80 10 80 FD 7D CD 20 80 99 80 82 4E 20 80 D8 80 FE 4F 45 63 80 FF 81 00 0D 47 1F	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 天才発明家 [KATAKANA]ペッパー[HIRAGANA]さんが\n [KATAKANA]ハッカー対策[HIRAGANA]のため 来訪!\n 町長と 会談なさる予定です˳		pending
C0-0583B9	0x0583B9	0051	D7 C3 02 20 10 80 99 80 F6 80 18 40 61 53 3F 52 00 3C 11 CD 20 80 AE 80 AF 53 0E 3D 42 4C 50 20 81 01 15 50 80 1E 6E 4A CD 20 81 02 81 03 4A 4B 00 80 1E 81 04 80 60 80 14 50 4F 6E 4D 59 47 CD 20 49 3D 45 42 50 20 04 81 05 80 32 42 0A 45 3C 1F	[DFT][PAL:02] ┌町役場からのおねがい┘\n 河原のどうくつに 遊びに行った\n 子供たちが行方不明になってます\n そうさくに ご協力ください˳		pending
C0-05840B	0x05840B	0086	D7 C3 02 20 10 80 99 80 F6 80 18 40 61 53 3F 46 61 48 11 CD 20 80 BD 80 59 20 80 1E 81 04 80 60 80 14 50 4F 6E 4D 3C 4A CD 20 81 02 81 03 4A 4B 54 20 D4 65 44 44 80 99 D5 50 47 5B CD 20 80 27 80 14 80 55 C2 00 45 68 53 80 36 0D D1 20 16 06 20 80 9A 43 61 64 59 46 4A CD 20 4F 3F 20 C2 00 45 68 50 54 CD 20 80 99 80 82 40 61 20 58 3D 46 71 3D 81 06 00 CD 20 80 36 66 4A 45 64 63 20 80 FF 81 00 0D 47 1F	[DFT][PAL:02] ┌町役場からのおしらせ┘\n 先日 行方不明になっていた\n 子供たちは [KATAKANA]ロココ町[HIRAGANA]にすむ\n 発明家[NAM:00]さんの手で[FIN] ぶじ 助けられました\n なお [NAM:00]さんには\n 町長から ほうしょう金が\n 手わたされる 予定です˳		pending
