# Japanese decode using Data Crystal Robotrek/Strings JP definitions.
# source fields	raw bytes	decoded text
0x01CC57	005D	C9 C6 C3 C0 BE BB B8 B6 B3 B1 AE AC AA A7 A5 A3 A1 9F 9D 9B 99 97 95 93 92 90 8F 8D 8C 8A 89 88 87 86 85 84 83 83 82 81 81 81 81 81 81 81 81 81 81 81 81 81 81 81 82 83 83 84 85 86 87 88 89 8A 8C 8D 8F 90 92 93 95 97 99 9B 9D 9F A1 A3 A5 A7 AA AC AE B1 B3 B6 B8 BB BE C0 C3 C6 C9	[PAU:C6][PAL:C0][BYTE:BE][BYTE:BB][BYTE:B8][BYTE:B6][BYTE:B3][BYTE:B1][BYTE:AE][BYTE:AC][BYTE:AA][BYTE:A7][BYTE:A5][BYTE:A3][BYTE:A1][BYTE:9F][BYTE:9D][BYTE:9B][BYTE:99][BYTE:97][BYTE:95][BYTE:93][BYTE:92][BYTE:90][BYTE:8F][BYTE:8D][BYTE:8C][BYTE:8A][BYTE:89][BYTE:88][BYTE:87][BYTE:86][BYTE:85][BYTE:84][BYTE:83][BYTE:83]巨關關關關關關關責[BYTE:83][BYTE:84][BYTE:85][BYTE:86][BYTE:87][BYTE:88][BYTE:89][BYTE:8A][BYTE:8C][BYTE:8D][BYTE:8F][BYTE:90][BYTE:92][BYTE:93][BYTE:95][BYTE:97][BYTE:99][BYTE:9B][BYTE:9D][BYTE:9F][BYTE:A1][BYTE:A3][BYTE:A5][BYTE:A7][BYTE:AA][BYTE:AC][BYTE:AE][BYTE:B1][BYTE:B3][BYTE:B6][BYTE:B8][BYTE:BB][BYTE:BE][END][PAL:C6][PAU:]
0x01CF69	0026	D0 5D 3D 46 66 43 04 05 3C 59 48 68 CD D4 4E 65 68 D5 00 20 4A 62 4F 3C 53 0D CD 59 4A 3F 44 46 42 0A 45 3C 1F D2	[CLR]もうしわけございません\n[KATAKANA]トロン[HIRAGANA]が たりないので\nまたおこしください˳[WAI]
0x01D0E7	0010	80 2D 4B 80 6D 00 3C 6E 19 3C 0D 55 65 3E 4F 3C	持ち物がいっぱいでひろえない
0x01D0F8	0012	D0 80 EA 00 58 46 3C 68 0A 0F 80 0F 68 0D 42 64 60 1F	[CLR]何がほしいんだ?選んでくれよ˳
0x01D14E	001D	D0 4F 68 0A 20 80 2D 4B 80 6D 00 3C 6E 19 3C 0D CD 66 4A 48 4F 3C 06 6F 4F 3C 40 1F D2	[CLR]なんだ 持ち物がいっぱいで\nわたせないじゃないか˳[WAI]
0x01D28A	001A	D0 C5 3C E2 80 0B 67 20 47 4D 59 47 40 0F CD 20 5E 5C 4D 3F 42 CD 20 47 4D 63	[CLR][TBL:3CE2800B]を すてますか?\n やめておく\n すてる
0x01D2DE	0022	D0 D4 3B 3C 4D 5B D5 53 80 1A 41 67 4C 5C 59 47 40 0F CD 20 80 1A 41 67 4C 5C 63 CD 20 5E 5C 4D 3F 42	[CLR][KATAKANA]アイテム[HIRAGANA]の空きをつめますか?\n 空きをつめる\n やめておく
0x01D301	0025	D0 D4 3B 3C 4D 5B D5 67 80 19 80 1B 50 4F 61 15 40 3E 59 47 40 0F CD 20 4F 61 15 40 3E 63 CD 20 5E 5C 4D 3F 42	[CLR][KATAKANA]アイテム[HIRAGANA]を順番にならびかえますか?\n ならびかえる\n やめておく
0x01D440	002D	D0 C5 3C E2 80 0B 67 80 23 63 50 54 CD C6 04 82 0B D4 4E 65 68 80 09 80 0A D5 0D 47 1F CD 20 80 23 63 20 20 20 20 20 20 5E 5C 4D 3F 42	[CLR][TBL:3CE2800B]を作るには\n[NUM:04820B][KATAKANA]トロン必要[HIRAGANA]です˳\n 作る      やめておく
0x01D47D	001F	D0 80 2D 4B 80 6D 00 20 3C 6E 19 3C 0D CD 80 28 46 3C 5D 53 54 20 80 23 64 59 48 68 60 1F D2	[CLR]持ち物が いっぱいで\n新しいものは 作れませんよ˳[WAI]
0x01D49D	0023	D0 44 64 54 20 5D 3D 80 2D 6E 4D 3F 63 06 6F 65 CD 4A 42 45 68 80 23 6E 4D 5D 81 09 81 04 4F 3C 09 1F D2	[CLR]これは もう持っておるじゃろ\nたくさん作っても仕方ないぞ˳[WAI]
0x01D60B	0010	D0 44 64 54 20 80 03 80 2B 0D 41 4F 3C 60 1F D2	[CLR]これは 合成できないよ˳[WAI]
0x01D686	001B	D0 44 53 D4 3B 3C 4D 5B D5 54 20 D4 62 45 3C 42 63 D5 CD 0D 41 59 48 68 52 1F D2	[CLR]この[KATAKANA]アイテム[HIRAGANA]は [KATAKANA]リサイクル[HIRAGANA]\nできませんね˳[WAI]
0x01D6D8	0052	C1 03 11 C7 0D 04 00 3F 59 3E 45 68 54 20 5D 3D 76 80 2C 5D CD D4 65 18 6E 4E D5 67 20 80 2D 6E 4D 3F 63 06 6F 65 3D CD 49 64 0A 43 3F 64 14 20 80 2E 80 2F 06 6F 1F C0 D0 58 3C 20 41 4A 6E 7D 45 6E 49 42 CD 80 23 80 24 50 4E 62 40 40 63 09 7D 7D	[POS:0311][BOX:0D0400]おまえさんは もう3台も\n[KATAKANA]ロボット[HIRAGANA]を 持っておるじゃろう\nそれだけおれば 十分じゃ˳[END][CLR]ほい きたっ!さっそく\n作業にとりかかるぞ!!
0x01D760	0013	D0 D4 5C 68 4D 4F 68 47 D5 00 80 30 66 62 59 46 4A 1F D2	[CLR][KATAKANA]メンテナンス[HIRAGANA]が終わりました˳[WAI]
0x01D859	000F	D0 44 53 80 02 67 4E 3D 65 42 46 59 47 40 0F	[CLR]この技をとうろくしますか?
0x01D869	000E	D0 20 4E 3D 65 42 20 20 20 20 45 42 06 71	[CLR] とうろく    さくじょ
0x01D89F	002F	DD C1 08 03 C7 0A 0B FF 20 20 80 33 80 34 53 41 65 42 C1 08 15 41 65 42 67 80 0F 68 0D 42 0A 45 3C 20 CD 20 20 20 20 20 20 20 20 20 20 20 20	[DEC:C10803C7]だぢ[CMD:FF]  冒険のきろく[POS:0815]きろくを選んでください \n            
