# Generated for the current Korean preview from menus, game-screen prompts, and dialogue drafts.
# Uses script-unused slots in the verified 0x80xx/0x81xx/0x82xx 16x16 source font pages.
# character	codepoint	code bytes	file offset	2bpp tile bytes
가	U+AC00	80 05	0x50140	FF FF FF FF FF F0 FF FF FF FE FF FE FF FC FF F9 FF FF FF FF FF 6F FF 6F FF 6F FF EF FF E3 FF EF FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
각	U+AC01	80 06	0x50180	FF FF FF FF FF F0 FF FE FF FD FF F9 FF F3 FF E7 FF FF FF FF FF EF FF EF FF EF FF E7 FF EF FF EF FF FF FF F0 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF FF FF FF
간	U+AC04	80 07	0x501C0	FF FF FF FF FF F0 FF FE FF FC FF FD FF F9 FF F3 FF FF FF FF FF EF FF EF FF EF FF E7 FF EF FF EF FF E7 FF FB FF FB FF FB FF F8 FF FF FF FF FF FF FF EF FF EF FF FF FF FF FF 0F FF FF FF FF FF FF
갈	U+AC08	80 13	0x504C0	FF FF FF FF FF F0 FF FE FF FC FF F9 FF F3 FF E7 FF FF FF FF FF EF FF EF FF E7 FF EF FF EF FF FF FF F8 FF FF FF F8 FF FB FF F8 FF FF FF FF FF FF FF 0F FF EF FF 0F FF FF FF 0F FF FF FF FF FF FF
감	U+AC10	80 04	0x50100	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 6F FF 6F FF EF FF E7 FF EF FF EF FF FF FF F8 FF FB FF FB FF F8 FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF 0F FF FF FF FF FF FF
갑	U+AC11	80 17	0x505C0	FF FF FF FF FF F0 FF FE FF FC FF F9 FF F3 FF E7 FF FF FF FF FF DF FF DF FF DF FF C7 FF DF FF DF FF FF FF FB FF F8 FF FB FF F8 FF FF FF FF FF FF FF FF FF DF FF 1F FF DF FF 1F FF FF FF FF FF FF
갖	U+AC16	80 20	0x50800	FF FF FF FF FF F0 FF FE FF FC FF F9 FF F3 FF E7 FF FF FF FF FF EF FF EF FF EF FF E7 FF EF FF EF FF FF FF F0 FF FE FF F8 FF F3 FF FF FF FF FF FF FF FF FF 0F FF 7F FF 3F FF CF FF FF FF FF FF FF
같	U+AC19	80 1D	0x50740	FF FF FF FF FF F0 FF FF FF FE FF FC FF F1 FF E7 FF FF FF FF FF 7F FF 7F FF E7 FF FF FF FF FF FF FF F8 FF FB FF F8 FF FB FF F8 FF FF FF FF FF FF FF 1F FF FF FF 1F FF FF FF 1F FF FF FF FF FF FF
갛	U+AC1B	80 2E	0x50B80	FF FF FF FF FF F0 FF FE FF FE FF F9 FF E7 FF FF FF FF FF FF FF 6F FF 6F FF E7 FF EF FF EF FF 7F FF F0 FF FF FF F8 FF F9 FF F8 FF FF FF FF FF FF FF 07 FF FF FF 1F FF 9F FF 1F FF FF FF FF FF FF
개	U+AC1C	80 22	0x50880	FF FF FF FF FF F0 FF FE FF FC FF FD FF FD FF FB FF FF FF FF FF AF FF AF FF AF FF AF FF 8F FF AF FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF AF FF AF FF AF FF AF FF AF FF FF FF FF FF FF
거	U+AC70	80 25	0x50940	FF FF FF FF FF E0 FF FF FF FE FF FE FF FC FF F9 FF FF FF FF FF 6F FF 6F FF 6F FF EF FF 0F FF EF FF F3 FF E7 FF FF FF FF FF FF FF FF FF FF FF FF FF EF FF EF FF EF FF EF FF EF FF FF FF FF FF FF
걱	U+AC71	80 37	0x50DC0	FF FF FF FF FF F0 FF FF FF FE FF FC FF F9 FF E7 FF FF FF FF FF 6F FF 6F FF EF FF 0F FF EF FF EF FF FF FF F8 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 0F FF EF FF EF FF EF FF FF FF FF FF FF
