# Generated from translation/korean-draft.tsv; unused 0x82xx dialog-font slots.
# character	codepoint	code bytes	file offset	2bpp tile bytes
가	U+AC00	82 90	0x60900	FB FB 0B 0B EB EB C9 C9 DB DB 3B 3B 7B 7B FB FB
각	U+AC01	82 91	0x60910	05 05 E5 E5 EC EC 9D 9D 3D 3D 81 81 FD FD FD FD
갈	U+AC08	82 92	0x60920	8B 8B 8B 8B C9 C9 9B 9B 03 03 C3 C3 83 83 83 83
거	U+AC70	82 93	0x60930	8D 8D 85 85 ED ED E1 E1 DD DD 3D 3D 7D 7D FD FD
건	U+AC74	82 94	0x60940	8D 8D 85 85 E1 E1 C9 C9 3D 3D FD FD BF BF 81 81
걸	U+AC78	82 95	0x60950	8D 8D A5 A5 E1 E1 1D 1D 01 01 C1 C1 81 81 81 81
것	U+AC83	82 96	0x60960	89 89 8D 8D E1 E1 99 99 39 39 E5 E5 C7 C7 99 99
게	U+AC8C	82 97	0x60970	FD FD 01 01 E9 E9 C1 C1 91 91 31 31 71 71 FD FD
고	U+ACE0	82 98	0x60980	FF FF 81 81 FD FD ED ED ED ED EF EF 00 00 FF FF
골	U+ACE8	82 99	0x60990	80 80 FC FC E5 E5 00 00 81 81 C0 C0 81 81 80 80
구	U+AD6C	82 9A	0x609A0	81 81 FD FD FD FD 00 00 87 87 E7 E7 E7 E7 E7 E7
그	U+ADF8	82 9B	0x609B0	FF FF 81 81 FD FD FD FD FD FD FD FD 00 00 FF FF
금	U+AE08	82 9C	0x609C0	81 81 FD FD F9 F9 00 00 FF FF 01 01 3D 3D 81 81
기	U+AE30	82 9D	0x609D0	FD FD 85 85 F5 F5 E5 E5 ED ED 9D 9D BD BD FD FD
까	U+AE4C	82 9E	0x609E0	FD FD 01 01 D1 D1 94 94 A5 A5 2D 2D ED ED FD FD
깜	U+AE5C	82 9F	0x609F0	0B 0B 03 03 A9 A9 2B 2B DB DB 83 83 BB BB 83 83
꽤	U+AF64	82 A0	0x60A00	F9 F9 01 01 B1 B1 81 81 D1 D1 01 01 B1 B1 FD FD
난	U+B09C	82 A1	0x60A10	FB FB 7B 7B 79 79 0B 0B 0B 0B FB FB BF BF 83 83
네	U+B124	82 A2	0x60A20	F9 F9 B9 B9 B1 B1 A1 A1 B9 B9 81 81 F9 F9 F9 F9
녀	U+B140	82 A3	0x60A30	FD FD BD BD B1 B1 BD BD B1 B1 85 85 8D 8D FD FD
놀	U+B180	82 A4	0x60A40	BF BF BF BF 81 81 00 00 81 81 81 81 89 89 81 81
누	U+B204	82 A5	0x60A50	BF BF BF BF 81 81 FF FF 00 00 A7 A7 E7 E7 E7 E7
는	U+B294	82 A6	0x60A60	BF BF 3F 3F 83 83 C3 C3 01 01 FF FF 3F 3F 83 83
니	U+B2C8	82 A7	0x60A70	FD FD BD BD BD BD BD BD BD BD 85 85 FD FD FD FD
다	U+B2E4	82 A8	0x60A80	13 13 13 13 73 73 71 71 73 73 03 03 F3 F3 F3 F3
달	U+B2EC	82 A9	0x60A90	1B 1B 19 19 79 79 0B 0B 83 83 83 83 07 07 03 03
답	U+B2F5	82 AA	0x60AA0	1B 1B 1B 1B 79 79 0B 0B FB FB 3B 3B 03 03 03 03
대	U+B300	82 AB	0x60AB0	15 15 15 15 75 75 71 71 75 75 05 05 F5 F5 F5 F5
데	U+B370	82 AC	0x60AC0	F9 F9 81 81 B1 B1 A1 A1 B1 B1 81 81 F1 F1 F9 F9
도	U+B3C4	82 AD	0x60AD0	81 81 BF BF BF BF 81 81 E7 E7 E7 E7 00 00 FF FF
돌	U+B3CC	82 AE	0x60AE0	81 81 BF BF 81 81 00 00 81 81 C1 C1 81 81 81 81
되	U+B418	82 AF	0x60AF0	FD FD 85 85 BD BD 85 85 C5 C5 81 81 85 85 FD FD
두	U+B450	82 B0	0x60B00	81 81 BF BF 81 81 C1 C1 00 00 E7 E7 E7 E7 E7 E7
득	U+B4DD	82 B1	0x60B10	81 81 3F 3F 81 81 00 00 00 00 81 81 FD FD FD FD
들	U+B4E4	82 B2	0x60B20	81 81 BF BF 81 81 00 00 81 81 81 81 81 81 01 01
떡	U+B5A1	82 B3	0x60B30	25 25 05 05 49 49 05 05 25 25 81 81 FD FD FD FD
라	U+B77C	82 B4	0x60B40	09 09 09 09 E9 E9 08 08 79 79 01 01 99 99 F9 F9
러	U+B7EC	82 B5	0x60B50	FD FD 85 85 F5 F5 81 81 BD BD 85 85 8D 8D FD FD
런	U+B7F0	82 B6	0x60B60	0D 0D AD AD 01 01 7D 7D 05 05 BD BD BF BF 81 81
려	U+B824	82 B7	0x60B70	0D 0D 05 05 E1 E1 0D 0D 79 79 05 05 0D 0D FD FD
렬	U+B82C	82 B8	0x60B80	09 09 E1 E1 01 01 09 09 81 81 81 81 83 83 81 81
례	U+B840	82 B9	0x60B90	FD FD 09 09 C1 C1 11 11 71 71 01 01 91 91 F9 F9
로	U+B85C	82 BA	0x60BA0	81 81 FD FD 81 81 BF BF 81 81 E7 E7 00 00 FF FF
론	U+B860	82 BB	0x60BB0	81 81 81 81 81 81 81 81 00 00 BF BF BF BF 81 81
를	U+B97C	82 BC	0x60BC0	81 81 81 81 81 81 00 00 83 83 81 81 81 81 01 01
리	U+B9AC	82 BD	0x60BD0	FD FD 85 85 F5 F5 85 85 BD BD 81 81 85 85 FD FD
린	U+B9B0	82 BE	0x60BE0	0D 0D E5 E5 05 05 7D 7D 05 05 BD BD BF BF 81 81
릴	U+B9B4	82 BF	0x60BF0	0D 0D 85 85 0D 0D 05 05 81 81 C1 C1 83 83 81 81
마	U+B9C8	82 C0	0x60C00	13 13 0B 0B 6B 6B 49 49 6B 6B 0B 0B F3 F3 F3 F3
만	U+B9CC	82 C1	0x60C10	FB FB 0B 0B 69 69 4B 4B 1B 1B FB FB 3F 3F 03 03
많	U+B9CE	82 C2	0x60C20	0B 0B 4B 4B 69 69 0B 0B F3 F3 61 61 6B 6B 03 03
면	U+BA74	82 C3	0x60C30	FD FD 81 81 B5 B5 A1 A1 8D 8D FD FD 9F 9F C1 C1
명	U+BA85	82 C4	0x60C40	8D 8D 81 81 B5 B5 81 81 AD AD C1 C1 9D 9D C1 C1
물	U+BB3C	82 C5	0x60C50	81 81 BD BD 81 81 00 00 81 81 81 81 81 81 81 81
뭐	U+BB50	82 C6	0x60C60	85 85 35 35 05 05 85 85 05 05 D1 D1 DD DD DD DD
뭘	U+BB58	82 C7	0x60C70	05 05 35 35 05 05 01 01 D9 D9 81 81 81 81 81 81
미	U+BBF8	82 C8	0x60C80	FD FD 85 85 B5 B5 B5 B5 B5 B5 85 85 CD CD FD FD
발	U+BC1C	82 C9	0x60C90	6B 6B 0B 0B 49 49 0B 0B 83 83 83 83 07 07 03 03
버	U+BC84	82 CA	0x60CA0	FD FD B5 B5 A5 A5 81 81 B5 B5 85 85 8D 8D FD FD
번	U+BC88	82 CB	0x60CB0	ED ED 6D 6D 01 01 6D 6D 0D 0D BD BD BF BF 81 81
봐	U+BD10	82 CC	0x60CC0	F9 F9 31 31 01 01 30 30 81 81 C1 C1 09 09 F9 F9
분	U+BD84	82 CD	0x60CD0	BD BD 81 81 BD BD 81 81 00 00 E7 E7 BF BF 81 81
빈	U+BE48	82 CE	0x60CE0	FD FD 6D 6D 0D 0D 6D 6D 0D 0D BD BD BF BF 81 81
빠	U+BE60	82 CF	0x60CF0	FD FD 41 41 41 41 00 00 59 59 01 01 FD FD FD FD
사	U+C0AC	82 D0	0x60D00	F9 F9 D9 D9 D9 D9 D8 D8 89 89 21 21 79 79 F9 F9
상	U+C0C1	82 D1	0x60D10	FB FB DB DB 99 99 0B 0B 6B 6B 83 83 BB BB 83 83
