# Conservative worksheet; heuristic references require emulator/code verification.
# id	original offset	original length	encoded length	overflow bytes	fits	next CC offset	bytes after segment before next CC	next draft offset	region	raw 3-byte refs	CF pointer refs	16-bit word refs	CF ref samples	action
0001	0x01CF69	0026	0037	0011	no	0x01CF8F	0	0x01D0E7	script-data-18000-27FFF	0	0	12	-	relocate-and-update-container-reference
0002	0x01D0E7	0010	0024	0014	no	0x01D0F7	0	0x01D0F8	script-data-18000-27FFF	0	0	20	-	relocate-and-update-container-reference
0003	0x01D0F8	0012	0014	0002	no	0x01D10A	0	0x01D14E	script-data-18000-27FFF	0	0	27	-	relocate-and-update-container-reference
0004	0x01D14E	001D	002F	0012	no	0x01D16B	0	0x01D28A	script-data-18000-27FFF	0	0	18	-	relocate-and-update-container-reference
0005	0x01D28A	001A	0022	0008	no	0x01D2A4	0	0x01D2DE	script-data-18000-27FFF	1	0	18	-	relocate-and-update-container-reference
0006	0x01D2DE	0022	0037	0015	no	0x01D300	0	0x01D301	script-data-18000-27FFF	0	0	5	-	relocate-and-update-container-reference
0007	0x01D301	0025	0034	000F	no	0x01D326	0	0x01D440	script-data-18000-27FFF	0	0	21	-	relocate-and-update-container-reference
0008	0x01D440	002D	0042	0015	no	0x01D46D	0	0x01D47D	script-data-18000-27FFF	0	0	32	-	relocate-and-update-container-reference
0009	0x01D47D	001F	0035	0016	no	0x01D49C	0	0x01D49D	script-data-18000-27FFF	0	0	15	-	relocate-and-update-container-reference
0010	0x01D49D	0023	0033	0010	no	0x01D4C0	0	0x01D60B	script-data-18000-27FFF	1	0	7	-	relocate-and-update-container-reference
0011	0x01D60B	0010	0017	0007	no	0x01D61B	0	0x01D686	script-data-18000-27FFF	0	0	13	-	relocate-and-update-container-reference
0012	0x01D686	001B	0029	000E	no	0x01D6A1	0	0x01D6D8	script-data-18000-27FFF	0	0	8	-	relocate-and-update-container-reference
0013	0x01D6D8	0052	005C	000A	no	0x01D72A	0	0x01D760	script-data-18000-27FFF	0	0	11	-	relocate-and-update-container-reference
0014	0x01D760	0013	0016	0003	no	0x01D773	0	0x01D859	script-data-18000-27FFF	0	0	16	-	relocate-and-update-container-reference
0015	0x01D859	000F	0016	0007	no	0x01D868	0	0x01D869	script-data-18000-27FFF	0	0	8	-	relocate-and-update-container-reference
0016	0x01D869	000E	000E	0000	yes	0x01D877	0	0x01D89F	script-data-18000-27FFF	0	0	8	-	relocate-and-update-container-reference
0017	0x01D89F	002F	002C	0000	yes	0x01D8CE	0	0x01D8CF	script-data-18000-27FFF	0	0	31	-	relocate-and-update-container-reference
0018	0x01D8CF	007F	0078	0000	yes	0x01D94E	0	0x01D96F	script-data-18000-27FFF	0	0	21	-	relocate-and-update-container-reference
0019	0x01D96F	001F	001D	0000	yes	0x01D98E	0	0x01D9DE	script-data-18000-27FFF	0	0	6	-	relocate-and-update-container-reference
0020	0x01D9DE	001E	0019	0000	yes	0x01D9FC	0	0x01DC5D	script-data-18000-27FFF	0	0	6	-	relocate-and-update-container-reference
