# Candidate extraction from Robotrek (USA).sfc; no ROM changes made.
# Non-ASCII bytes are preserved as [XX]; C0 is the record terminator and is excluded from raw_hex.
record_id	region	start_offset	end_offset_exclusive	terminator_offset	length_without_terminator	raw_hex	controls	nested_start_count	ascii_chars	letter_chars	printable_ratio	classification	english	korean_translation	translation_status
EN-01D18B	menu-and-system	0x01D18B	0x01D1A7	0x01D1A7	28	D7 DC 01 C5 06 E3 76 06 20 63 61 6E 60 74 20 62 65 CD 75 73 65 64 20 68 65 72 65 2E	01:1 06:2 C5:1 CD:1 D7:1 DC:1 E3:1	0	20	15	0.7143	accepted-candidate	[D7][DC][01][C5][06][E3]v[06] can`t be\nused here.		pending
EN-01D1A8	menu-and-system	0x01D1A8	0x01D22F	0x01D22F	135	D7 DC 01 20 C2 00 20 75 73 65 64 20 4B 65 79 2E D2 C8 CC D0 DC 01 46 69 6C 6C 20 69 6E 20 49 74 65 6D 3F CD 20 46 69 6C 6C 20 69 6E CD 20 51 75 69 74 CC D0 DC 01 4C 69 6E 65 20 75 70 20 49 74 65 6D 73 3F CD 20 4C 69 6E 65 20 75 70 CD 20 51 75 69 74 CC C1 03 1B C7 0D 01 00 DC 01 45 6E 74 65 72 20 2D 20 52 55 4E 20 4B 65 79 CC D7 CD 20 2E 2E 2E 49 20 63 61 6E 60 74 20 72 65 61 63 68 20 69 74 20 2E 2E 2E	00:2 01:5 03:1 0D:1 1B:1 C1:1 C2:1 C7:1 C8:1 CC:4 CD:5 D0:2 D2:1 D7:2 DC:4	1	103	71	0.763	accepted-candidate	[D7][DC][01] [C2][00] used Key.[D2][C8][CC][D0][DC][01]Fill in Item?\n Fill in\n Quit[CC][D0][DC][01]Line up Items?\n Line up\n Quit[CC][C1][03][1B][C7][0D][01][00][DC][01]Enter - RUN Key[CC][D7]\n ...I can`t reach it ...		pending
EN-01D215	menu-and-system	0x01D215	0x01D22F	0x01D22F	26	D7 CD 20 2E 2E 2E 49 20 63 61 6E 60 74 20 72 65 61 63 68 20 69 74 20 2E 2E 2E	CD:1 D7:1	0	24	12	0.9231	overlap-review	[D7]\n ...I can`t reach it ...		pending
EN-01D953	menu-and-system	0x01D953	0x01D98A	0x01D98A	55	D7 20 C2 00 20 67 6F 74 CD 20 C3 02 C5 06 E3 EA 05 C3 00 21 21 CC D7 20 C2 00 20 66 6F 75 6E 64 CD 20 C3 02 C5 06 E3 EA 05 C3 00 21 21 CC D7 CD 20 65 6D 70 74 79 2E	00:4 02:2 05:2 06:2 C2:2 C3:4 C5:2 CC:2 CD:3 D7:3 E3:2 EA:2	2	25	13	0.4545	accepted-candidate	[D7] [C2][00] got\n [C3][02][C5][06][E3][EA][05][C3][00]!![CC][D7] [C2][00] found\n [C3][02][C5][06][E3][EA][05][C3][00]!![CC][D7]\n empty.		pending
EN-01D969	menu-and-system	0x01D969	0x01D98A	0x01D98A	33	D7 20 C2 00 20 66 6F 75 6E 64 CD 20 C3 02 C5 06 E3 EA 05 C3 00 21 21 CC D7 CD 20 65 6D 70 74 79 2E	00:2 02:1 05:1 06:1 C2:1 C3:2 C5:1 CC:1 CD:2 D7:2 E3:1 EA:1	1	17	10	0.5152	overlap-review	[D7] [C2][00] found\n [C3][02][C5][06][E3][EA][05][C3][00]!![CC][D7]\n empty.		pending
EN-01D981	menu-and-system	0x01D981	0x01D98A	0x01D98A	9	D7 CD 20 65 6D 70 74 79 2E	CD:1 D7:1	0	7	5	0.7778	overlap-review	[D7]\n empty.		pending
EN-01D98B	menu-and-system	0x01D98B	0x01D9BB	0x01D9BB	48	D7 20 C2 00 20 68 61 73 20 66 6F 75 6E 64 CD 20 C3 02 C6 04 EA 05 20 47 50 C3 00 21 21 CC D7 CD 20 49 6E 76 65 6E 74 6F 72 79 20 66 75 6C 6C 2E	00:2 02:1 04:1 05:1 C2:1 C3:2 C6:1 CC:1 CD:2 D7:2 EA:1	1	33	23	0.6875	accepted-candidate	[D7] [C2][00] has found\n [C3][02][C6][04][EA][05] GP[C3][00]!![CC][D7]\n Inventory full.		pending
EN-01D9A9	menu-and-system	0x01D9A9	0x01D9BB	0x01D9BB	18	D7 CD 20 49 6E 76 65 6E 74 6F 72 79 20 66 75 6C 6C 2E	CD:1 D7:1	0	16	13	0.8889	overlap-review	[D7]\n Inventory full.		pending
EN-01D9BC	menu-and-system	0x01D9BC	0x01D9DA	0x01D9DA	30	D7 CD DC 07 20 BA BA BA BA BA BA BA BA C9 1E DC 03 44 6F 65 73 6E 60 74 20 6F 70 65 6E 3F	03:1 07:1 1E:1 BA:8 C9:1 CD:1 D7:1 DC:2	0	14	10	0.4667	accepted-candidate	[D7]\n[DC][07] [BA][BA][BA][BA][BA][BA][BA][BA][C9][1E][DC][03]Doesn`t open?		pending
EN-01D9DE	menu-and-system	0x01D9DE	0x01DA02	0x01DA02	36	D7 20 C2 00 20 6C 65 61 72 6E 65 64 CD 20 68 6F 77 20 74 6F 20 6D 61 6B 65 20 C3 02 C5 06 E3 EE 05 C3 00 2E	00:2 02:1 05:1 06:1 C2:1 C3:2 C5:1 CD:1 D7:1 E3:1 EE:1	0	23	16	0.6389	accepted-candidate	[D7] [C2][00] learned\n how to make [C3][02][C5][06][E3][EE][05][C3][00].		pending
