# Review worksheet; Korean drafts are overlaid from translation/korean-draft.tsv.
# id	file offset	length	raw bytes	Japanese	Korean translation	status
0001	0x01CF69	0026	D0 5D 3D 46 66 43 04 05 3C 59 48 68 CD D4 4E 65 68 D5 00 20 4A 62 4F 3C 53 0D CD 59 4A 3F 44 46 42 0A 45 3C 1F D2	[CLR]もうしわけございません\n[KATAKANA]トロン[HIRAGANA]が たりないので\nまたおこしください˳[WAI]	[CLR]정말 죄송합니다\n[KATAKANA]트론[HIRAGANA]이 부족하니\n다음에 다시 오세요˳[WAI]	draft-ko
0002	0x01D0E7	0010	80 2D 4B 80 6D 00 3C 6E 19 3C 0D 55 65 3E 4F 3C	持ち物がいっぱいでひろえない	소지품이 가득 차서 주울 수 없습니다.	draft-ko
0003	0x01D0F8	0012	D0 80 EA 00 58 46 3C 68 0A 0F 80 0F 68 0D 42 64 60 1F	[CLR]何がほしいんだ?選んでくれよ˳	[CLR]뭘 원해? 골라 봐.˳[WAI]	draft-ko
0004	0x01D14E	001D	D0 4F 68 0A 20 80 2D 4B 80 6D 00 3C 6E 19 3C 0D CD 66 4A 48 4F 3C 06 6F 4F 3C 40 1F D2	[CLR]なんだ 持ち物がいっぱいで\nわたせないじゃないか˳[WAI]	[CLR]이런, 소지품이 가득 차서\n건네줄 수가 없잖아.˳[WAI]	draft-ko
0005	0x01D28A	001A	D0 C5 3C E2 80 0B 67 20 47 4D 59 47 40 0F CD 20 5E 5C 4D 3F 42 CD 20 47 4D 63	[CLR][TBL:3CE2800B]を すてますか?\n やめておく\n すてる	[CLR][TBL:3CE2800B]을 버릴까요?\n 아니요\n 버리기	draft-ko
0006	0x01D2DE	0022	D0 D4 3B 3C 4D 5B D5 53 80 1A 41 67 4C 5C 59 47 40 0F CD 20 80 1A 41 67 4C 5C 63 CD 20 5E 5C 4D 3F 42	[CLR][KATAKANA]アイテム[HIRAGANA]の空きをつめますか?\n 空きをつめる\n やめておく	[CLR][KATAKANA]아이템[HIRAGANA]의 빈자리를 정리할까요?\n 빈자리 정리\n 그만두기	draft-ko
0007	0x01D301	0025	D0 D4 3B 3C 4D 5B D5 67 80 19 80 1B 50 4F 61 15 40 3E 59 47 40 0F CD 20 4F 61 15 40 3E 63 CD 20 5E 5C 4D 3F 42	[CLR][KATAKANA]アイテム[HIRAGANA]を順番にならびかえますか?\n ならびかえる\n やめておく	[CLR][KATAKANA]아이템[HIRAGANA]을 순서대로 정렬할까요?\n 정렬하기\n 그만두기	draft-ko
0008	0x01D440	002D	D0 C5 3C E2 80 0B 67 80 23 63 50 54 CD C6 04 82 0B D4 4E 65 68 80 09 80 0A D5 0D 47 1F CD 20 80 23 63 20 20 20 20 20 20 5E 5C 4D 3F 42	[CLR][TBL:3CE2800B]を作るには\n[NUM:04820B][KATAKANA]トロン必要[HIRAGANA]です˳\n 作る      やめておく	[CLR][TBL:3CE2800B]을 만들려면\n[NUM:04820B] [KATAKANA]트론[HIRAGANA]이 필요합니다.˳\n 만들기      그만두기	draft-ko
0009	0x01D47D	001F	D0 80 2D 4B 80 6D 00 20 3C 6E 19 3C 0D CD 80 28 46 3C 5D 53 54 20 80 23 64 59 48 68 60 1F D2	[CLR]持ち物が いっぱいで\n新しいものは 作れませんよ˳[WAI]	[CLR]소지품이 가득 차서\n새로운 물건은 만들 수 없습니다.˳[WAI]	draft-ko
0010	0x01D49D	0023	D0 44 64 54 20 5D 3D 80 2D 6E 4D 3F 63 06 6F 65 CD 4A 42 45 68 80 23 6E 4D 5D 81 09 81 04 4F 3C 09 1F D2	[CLR]これは もう持っておるじゃろ\nたくさん作っても仕方ないぞ˳[WAI]	[CLR]이건 이미 가지고 있잖아.\n많이 만들어도 소용없어.˳[WAI]	draft-ko
0011	0x01D60B	0010	D0 44 64 54 20 80 03 80 2B 0D 41 4F 3C 60 1F D2	[CLR]これは 合成できないよ˳[WAI]	[CLR]이건 합성할 수 없어.˳[WAI]	draft-ko
0012	0x01D686	001B	D0 44 53 D4 3B 3C 4D 5B D5 54 20 D4 62 45 3C 42 63 D5 CD 0D 41 59 48 68 52 1F D2	[CLR]この[KATAKANA]アイテム[HIRAGANA]は [KATAKANA]リサイクル[HIRAGANA]\nできませんね˳[WAI]	[CLR]이 [KATAKANA]아이템[HIRAGANA]은 [KATAKANA]리사이클[HIRAGANA]\n할 수 없네요.˳[WAI]	draft-ko
0013	0x01D6D8	0052	C1 03 11 C7 0D 04 00 3F 59 3E 45 68 54 20 5D 3D 76 80 2C 5D CD D4 65 18 6E 4E D5 67 20 80 2D 6E 4D 3F 63 06 6F 65 3D CD 49 64 0A 43 3F 64 14 20 80 2E 80 2F 06 6F 1F C0 D0 58 3C 20 41 4A 6E 7D 45 6E 49 42 CD 80 23 80 24 50 4E 62 40 40 63 09 7D 7D	[POS:0311][BOX:0D0400]おまえさんは もう3台も\n[KATAKANA]ロボット[HIRAGANA]を 持っておるじゃろう\nそれだけおれば 十分じゃ˳[END][CLR]ほい きたっ!さっそく\n作業にとりかかるぞ!!	[POS:0311][BOX:0D0400]로봇을 벌써 3대나\n가지고 있잖아.\n이 정도면 충분해.˳[END][CLR]자, 됐다! 어서\n작업을 시작하자!!	draft-ko
0014	0x01D760	0013	D0 D4 5C 68 4D 4F 68 47 D5 00 80 30 66 62 59 46 4A 1F D2	[CLR][KATAKANA]メンテナンス[HIRAGANA]が終わりました˳[WAI]	[CLR][KATAKANA]정비[HIRAGANA]가 끝났습니다˳[WAI]	draft-ko
0015	0x01D859	000F	D0 44 53 80 02 67 4E 3D 65 42 46 59 47 40 0F	[CLR]この技をとうろくしますか?	[CLR]이 기술을 등록할까요?	draft-ko
0016	0x01D869	000E	D0 20 4E 3D 65 42 20 20 20 20 45 42 06 71	[CLR] とうろく    さくじょ	[CLR] 등록    삭제	draft-ko
0017	0x01D89F	002F	DD C1 08 03 C7 0A 0B FF 20 20 80 33 80 34 53 41 65 42 C1 08 15 41 65 42 67 80 0F 68 0D 42 0A 45 3C 20 CD 20 20 20 20 20 20 20 20 20 20 20 20	[DEC:C10803C7]だぢ[CMD:FF]  冒険のきろく[POS:0815]きろくを選んでください \n            	[DEC:C10803C7]だぢ[CMD:FF]  모험 기록[POS:0815]기록을 선택해 주세요 \n	draft-ko
