# Likely CC-terminated encoded text payloads; no TBL applied.
# offset	length	raw bytes	placeholder rendering
0x01CC57	005D	C9 C6 C3 C0 BE BB B8 B6 B3 B1 AE AC AA A7 A5 A3 A1 9F 9D 9B 99 97 95 93 92 90 8F 8D 8C 8A 89 88 87 86 85 84 83 83 82 81 81 81 81 81 81 81 81 81 81 81 81 81 81 81 82 83 83 84 85 86 87 88 89 8A 8C 8D 8F 90 92 93 95 97 99 9B 9D 9F A1 A3 A5 A7 AA AC AE B1 B3 B6 B8 BB BE C0 C3 C6 C9	<C9><C6><C3><C0><BE><BB><B8><B6><B3><B1><AE><AC><AA><A7><A5><A3><A1><9F><9D><9B><99><97><95><93><92><90><8F><8D><8C><8A><89><88><87><86><85><84><83><83><82><81><81><81><81><81><81><81><81><81><81><81><81><81><81><81><82><83><83><84><85><86><87><88><89><8A><8C><8D><8F><90><92><93><95><97><99><9B><9D><9F><A1><A3><A5><A7><AA><AC><AE><B1><B3><B6><B8><BB><BE><C0><C3><C6><C9>
0x01CF69	0026	D0 5D 3D 46 66 43 04 05 3C 59 48 68 CD D4 4E 65 68 D5 00 20 4A 62 4F 3C 53 0D CD 59 4A 3F 44 46 42 0A 45 3C 1F D2	<D0>]=FfC<04><05><YHh<CD><D4>Neh<D5><00> JbO<S<0D><CD>YJ?DFB<0A>E<<1F><D2>
0x01D0E7	0010	80 2D 4B 80 6D 00 3C 6E 19 3C 0D 55 65 3E 4F 3C	<80>-K<80>m<00><n<19><<0D>Ue>O<
0x01D0F8	0012	D0 80 EA 00 58 46 3C 68 0A 0F 80 0F 68 0D 42 64 60 1F	<D0><80><EA><00>XF<h<0A><0F><80><0F>h<0D>Bd`<1F>
0x01D14E	001D	D0 4F 68 0A 20 80 2D 4B 80 6D 00 3C 6E 19 3C 0D CD 66 4A 48 4F 3C 06 6F 4F 3C 40 1F D2	<D0>Oh<0A> <80>-K<80>m<00><n<19><<0D><CD>fJHO<<06>oO<@<1F><D2>
0x01D28A	001A	D0 C5 3C E2 80 0B 67 20 47 4D 59 47 40 0F CD 20 5E 5C 4D 3F 42 CD 20 47 4D 63	<D0><C5><<E2><80><0B>g GMYG@<0F><CD> ^\M?B<CD> GMc
0x01D2DE	0022	D0 D4 3B 3C 4D 5B D5 53 80 1A 41 67 4C 5C 59 47 40 0F CD 20 80 1A 41 67 4C 5C 63 CD 20 5E 5C 4D 3F 42	<D0><D4>;<M[<D5>S<80><1A>AgL\YG@<0F><CD> <80><1A>AgL\c<CD> ^\M?B
0x01D301	0025	D0 D4 3B 3C 4D 5B D5 67 80 19 80 1B 50 4F 61 15 40 3E 59 47 40 0F CD 20 4F 61 15 40 3E 63 CD 20 5E 5C 4D 3F 42	<D0><D4>;<M[<D5>g<80><19><80><1B>POa<15>@>YG@<0F><CD> Oa<15>@>c<CD> ^\M?B
0x01D440	002D	D0 C5 3C E2 80 0B 67 80 23 63 50 54 CD C6 04 82 0B D4 4E 65 68 80 09 80 0A D5 0D 47 1F CD 20 80 23 63 20 20 20 20 20 20 5E 5C 4D 3F 42	<D0><C5><<E2><80><0B>g<80>#cPT<CD><C6><04><82><0B><D4>Neh<80><09><80><0A><D5><0D>G<1F><CD> <80>#c      ^\M?B
0x01D47D	001F	D0 80 2D 4B 80 6D 00 20 3C 6E 19 3C 0D CD 80 28 46 3C 5D 53 54 20 80 23 64 59 48 68 60 1F D2	<D0><80>-K<80>m<00> <n<19><<0D><CD><80>(F<]ST <80>#dYHh`<1F><D2>
0x01D49D	0023	D0 44 64 54 20 5D 3D 80 2D 6E 4D 3F 63 06 6F 65 CD 4A 42 45 68 80 23 6E 4D 5D 81 09 81 04 4F 3C 09 1F D2	<D0>DdT ]=<80>-nM?c<06>oe<CD>JBEh<80>#nM]<81><09><81><04>O<<09><1F><D2>
